-1216,174,672,81550,-71120,158340,3
1997,-806,626,-138530,-181020,130200,3
677,-517,549,111650,256830,-169540,3
-1998,-21,1032,-77210,39340,-74480,3
-434,-187,731,22400,-213290,180110,3
1997,-422,505,-56000,-88900,40040,3
279,-292,493,133840,265510,-236320,3
-1321,-50,878,12460,-77910,110110,3
1900,-521,747,-112700,-198310,127050,3
1305,-666,682,69440,180600,-153370,3
-1998,224,599,-83020,48510,-82740,3
-355,-268,1003,-55090,-156170,211050,3
1993,-710,812,-66430,-50890,35420,3
384,-344,723,70840,165410,-152040,3
-1665,150,941,-51450,-133630,-15820,3
773,-429,736,-97580,-190610,209300,3
1949,-648,574,66150,91910,-64610,3
-1057,-329,606,176890,255920,-278040,3
-1316,104,463,77070,-80010,190400,3
1997,-780,744,-157850,-217910,123550,3
1465,-628,536,111790,187040,-147210,3
-1998,79,788,-136360,5320,-143360,3
-725,-476,739,-20160,-180530,273560,3
1997,-851,297,-46550,-39480,-22330,3
-610,-596,528,148890,302470,-317100,3
-1392,-89,726,86100,-102620,199990,3
1997,-793,391,-158130,-249760,150990,3
39,-686,571,135100,318710,-234640,3
-1998,252,624,-15050,-22260,-4060,3
1944,-725,829,-108220,-230440,181650,3
928,-579,603,88550,191310,-168630,3
-1998,98,839,-59290,60620,-147210,3
-262,-612,832,-64890,-234500,271250,3
1997,-684,49,-41020,-17570,8890,3
-1195,-324,230,147700,349720,-273420,3
-1619,66,468,61040,-116830,177940,3
1997,-808,405,-151270,-226800,92820,3
726,-670,558,114940,282520,-233170,3
-1998,149,589,-7350,-74690,44590,3
875,-558,618,-115150,-201180,291970,3
1260,-769,640,172970,216650,-177870,3
-1998,165,778,-73640,28070,-36540,3
374,-452,762,-39970,-138040,279790,3
1860,-586,522,104580,121800,-87920,3
-1920,-99,634,72730,190610,-271530,3
-302,-401,750,4620,-170170,266210,3
1997,-842,604,-74480,-83930,25830,3
-319,-345,457,100310,219870,-236530,3
-1998,-30,851,-14000,-80360,-6510,3
1014,-808,622,-153440,-252350,292180,3
1991,-875,329,141400,163730,-62090,3
-1892,-259,612,89950,227640,-297080,3
-1240,85,720,78540,-112560,150220,3
1849,-580,309,-150150,-305200,174790,3
1034,-608,479,129010,224910,-189210,3
-1998,-116,1146,-87500,73850,-184800,3
-477,-437,748,-51870,-167650,253890,3
1997,-911,614,-82390,-118650,49420,3
-224,-522,611,108990,203070,-271810,3
-1989,-112,954,-21630,-55440,71470,3
1494,-713,462,-126280,-177730,239960,3
1775,-876,678,127680,183820,-116830,3
-1998,88,587,-560,154350,-226170,3
-531,-275,802,-5880,-77910,231350,3
1997,-919,617,-232610,-332920,82950,3
396,-814,601,170590,245070,-267470,3
-1998,88,797,-151130,-106750,-58870,3
1148,-809,795,-137130,-198730,255080,3
1867,-622,434,119700,126350,-85610,3
-1998,122,643,29540,208320,-235340,3
-1201,56,492,54810,-118160,209160,3
1997,-1220,692,-159880,-137550,61880,3
-557,-393,475,155470,236740,-225750,3
-1953,102,594,-57890,-84770,91070,3
1654,-918,733,-195230,-250950,194180,3
1728,-784,511,115360,150360,-94570,3
-1998,-23,993,-102410,55510,-204820,3
-311,-264,612,47390,-88130,263760,3
1989,-618,687,97580,47530,-47530,3
-410,-93,517,135800,161630,-198520,3
-1474,137,558,36400,-58520,113890,3
857,-726,962,-141540,-175280,215110,3
1850,-822,650,78960,99260,-98210,3
-1998,33,969,-86380,22470,-175980,3
-753,-256,597,24290,-95340,220640,3
1997,-907,827,-52500,-70140,-770,3
205,-414,563,148120,187390,-187670,3
-1917,119,654,2240,-35070,80080,3
494,-519,485,-125370,-219450,255080,3
1759,-851,557,178570,208950,-106120,3
-1998,-82,742,64470,123130,-260050,3
17,-641,817,-48510,-123130,272790,3
1997,-936,649,-7980,-81620,-28980,3
-1084,-277,683,144620,124810,-252350,3
-1205,129,286,76790,-108780,189490,3
1949,-853,988,-130060,-167300,123550,3
659,-710,757,106400,144830,-180460,3
-1998,-18,1000,-132440,-10010,-110110,3
484,-613,770,-118650,-132090,301630,3
1994,-1008,541,152250,166110,-55370,3
-1998,33,763,-13020,52430,-227640,3
-828,-344,785,-10150,-114240,207060,3
1997,-1154,1071,-58030,-78470,26600,3
243,-508,578,131600,135730,-221900,3
-1998,111,723,-13370,-50680,19040,3
1750,-934,900,-178290,-187180,224140,3
1635,-720,502,189350,168630,-122920,3
-1998,108,814,-84560,105770,-179340,3
-789,-314,677,8470,-129850,246330,3
1997,-1025,750,-66570,-65170,-16730,3
131,-716,621,133280,230860,-252560,3
-1552,143,514,13930,-74550,134190,3
1131,-689,669,-161000,-219380,215600,3
1209,-782,614,211260,214130,-147700,3
-1998,-87,905,-44730,95060,-216090,3
-338,-481,745,-48020,-149380,277340,3
