-693,23,708,-48090,-114170,1610,2
-366,-144,740,-87500,-163240,-8750,2
298,-490,846,-92680,-177450,-24850,2
524,-581,827,-59710,-80430,-910,2
656,-611,874,-6790,-19740,9240,2
654,-622,852,49840,78610,22470,2
39,-319,714,116550,202860,49980,2
-392,-180,756,99330,167370,29400,2
-759,55,668,68950,95340,2380,2
-814,165,722,19600,33320,-6860,2
-951,219,702,-14350,-57400,-22680,2
-865,143,655,-49070,-123550,-20790,2
-322,-111,661,-109760,-213570,-36400,2
273,-522,677,-110180,-215250,-66360,2
776,-570,774,-24500,-83720,-1610,2
681,-552,842,18270,20650,3500,2
493,-523,798,38430,86030,23170,2
74,-402,756,103180,215460,57890,2
-364,-175,693,114520,193760,26880,2
-841,48,659,57330,103390,-1190,2
-983,155,725,9800,18060,910,2
-1023,173,671,-22470,-89880,-11690,2
-475,-98,723,-95060,-187250,-17010,2
38,-439,739,-118580,-197400,-31780,2
552,-642,765,-82460,-128940,-19600,2
620,-660,794,-45220,-55720,-3570,2
570,-664,880,24010,28700,-3220,2
439,-546,736,68460,121940,34720,2
8,-386,764,91350,167580,36680,2
-317,-222,716,112420,201040,43820,2
-842,60,647,68320,96110,-5600,2
-988,191,692,18900,44660,-210,2
-909,165,675,-22470,-72590,-5530,2
-657,-25,703,-67970,-129710,-17080,2
-191,-273,677,-96810,-191380,-34650,2
356,-536,834,-89180,-161350,-22190,2
749,-683,935,-72730,-97300,-12180,2
572,-591,892,27510,35560,9310,2
417,-544,833,45920,87150,10710,2
134,-395,805,72870,156450,38570,2
-334,-314,787,78470,153860,15330,2
-648,30,646,66220,134960,11480,2
-1005,204,643,25900,54320,-12460,2
-1097,119,738,-11130,-28980,-4270,2
-633,48,658,-68810,-142170,-490,2
-233,-193,758,-94920,-153790,-2730,2
117,-337,672,-94290,-196490,-28840,2
567,-531,837,-62650,-131670,-10080,2
651,-660,914,8610,-7770,-10640,2
528,-592,860,43890,47880,-1680,2
200,-398,773,82460,153860,31220,2
-191,-205,742,93520,164150,30730,2
-541,25,657,80780,149030,25830,2
-854,88,647,54740,93520,4550,2
-1058,205,704,3500,-3010,9800,2
-818,143,621,-55580,-119490,7490,2
-413,-71,687,-73780,-164640,-11830,2
64,-385,744,-116410,-191800,-32410,2
510,-529,879,-67620,-119630,-23310,2
493,-559,909,-5740,-27580,-10710,2
658,-643,871,33740,56770,12880,2
248,-427,763,98770,176470,43540,2
-289,-179,696,100730,190190,30730,2
-817,112,611,87010,119280,3430,2
-960,136,727,25970,51030,2100,2
-878,152,776,-18480,-35490,8680,2
-696,108,659,-64260,-140700,-6790,2
-194,-169,650,-92610,-207760,-34020,2
376,-467,775,-66430,-139300,-13650,2
567,-558,923,-28490,-57680,4060,2
493,-561,977,13370,14490,-3150,2
539,-477,807,59710,114030,26670,2
14,-216,732,79800,172270,41160,2
-601,-123,700,98490,200830,38430,2
-808,99,753,38430,53760,-16380,2
-1050,162,782,15260,7210,-4620,2
-809,162,722,-30730,-88270,-4130,2
-483,-116,726,-75600,-165550,-20090,2
-13,-240,770,-83300,-176750,-31150,2
539,-505,830,-61810,-136710,-15890,2
688,-537,871,-27790,-57050,-12460,2
675,-624,854,51800,106890,29960,2
164,-312,753,98070,182000,28000,2
-293,-157,749,85750,157570,17570,2
-713,-4,773,52570,90230,-16380,2
-827,68,804,-10010,-7840,-10920,2
-692,-48,821,-53690,-159530,-35490,2
-111,-187,683,-90790,-205730,-17640,2
359,-472,785,-83930,-163660,-3990,2
560,-553,760,-54880,-99260,-4620,2
798,-658,772,24290,51520,31780,2
366,-545,825,73080,126070,22820,2
84,-385,846,80360,167020,30030,2
-333,-114,722,94500,162890,14070,2
-780,49,758,45500,62790,-16730,2
-1088,164,783,5320,-15050,-17920,2
-621,39,731,-58100,-150080,-11340,2
-131,-254,739,-100030,-183120,-1050,2
316,-450,786,-82040,-152250,-30520,2
593,-649,881,-48160,-82320,-11270,2
690,-687,918,-7700,-12670,-12390,2
525,-569,847,67550,104790,490,2
61,-317,762,91000,176890,17710,2
-436,-98,762,87150,157500,6020,2
-746,43,749,55160,86870,-10640,2
-952,94,777,3710,2450,-4340,2
-715,4,812,-49210,-127260,-7980,2
-79,-176,718,-85610,-176190,6580,2
283,-361,816,-78750,-154700,-7700,2
520,-540,838,-50120,-87500,70,2
686,-607,887,-21280,-25270,-1820,2
547,-578,842,39270,53620,770,2
133,-337,792,90720,157500,26740,2
-160,-299,795,81690,158970,7140,2
